n_components_mean,n_components_std,frac_largest_mean,frac_largest_std,avg_degree_mean,avg_degree_std,clustering_mean,clustering_std,path_length_LCC_mean,path_length_LCC_std,modularity_Q_mean,modularity_Q_std,homophily_mean,homophily_std,std_opinion_mean,std_opinion_std,epsilon_mean,epsilon_std,p_cut_mean,p_cut_std,epsilon,p_cut,n_seeds
3.6,1.6733200530681511,0.991,0.008403868156985793,3.825,0.03570714214271416,0.36859285714285717,0.024614757714018918,7.208755210015342,0.39932158324997147,0.8088131868520356,0.012407062991284525,0.7472645072936303,0.03155003499590032,0.23619775303417717,0.0032752161968385408,0.25,0.0,0.07444444444444444,0.0,0.25,0.07444444444444444,5
9.0,2.1213203435596424,0.9655000000000001,0.009905806378079491,3.743,0.019557607215608,0.42788412698412703,0.015643237315993434,7.881314691637044,0.305918232893751,0.8326850122460467,0.009759599567147207,0.8413241554980633,0.03556142766490789,0.23666793659985066,0.005278525966899616,0.25,0.0,0.10666666666666666,0.0,0.25,0.10666666666666666,5
14.4,2.073644135332772,0.9425000000000001,0.01648863244784114,3.714,0.03008321791298273,0.45761666666666667,0.01754714933673497,7.904141300523885,0.4416300960777865,0.8416198487247402,0.004700240924415507,0.9009933245824844,0.03564817473475311,0.23407353163887473,0.006258815349181978,0.25,0.0,0.1388888888888889,0.0,0.25,0.1388888888888889,5
17.2,4.207136793592526,0.9115,0.040489196089821315,3.646,0.05079370039680116,0.4966583333333333,0.033036923133181,8.827792200255919,0.2736371673508087,0.8694934361709971,0.014521281522054232,0.9296235990959243,0.008784541330285948,0.23858154373752916,0.003743309122732256,0.25,0.0,0.1711111111111111,0.0,0.25,0.1711111111111111,5
19.4,2.1908902300206643,0.8965,0.021403854793003975,3.682,0.03701351104664343,0.4994571428571429,0.02428438718622171,8.762140741641966,0.30825697665875434,0.8671813628694778,0.0076058213748065135,0.9528933003129229,0.007632798046268094,0.2345667727704494,0.00597321577220583,0.25,0.0,0.2033333333333333,3.1031676915590914e-17,0.25,0.20333333333333334,5
24.4,4.03732584763727,0.8525,0.0430479383943064,3.6779999999999995,0.05826662852782889,0.5228746031746032,0.023912440657541164,9.438934413917035,0.8800347134414357,0.8844501359809627,0.011315290889527731,0.9726027556422041,0.013660334532844738,0.2370372589558433,0.00502287165031608,0.25,0.0,0.23555555555555557,0.0,0.25,0.23555555555555557,5
29.6,5.5497747702046425,0.8484999999999999,0.0336154726279432,3.6439999999999997,0.04774934554525326,0.5256042568542568,0.017084327482369564,9.496342634986371,0.9727387628251478,0.8801470956025221,0.01084056712507209,0.9823160997299709,0.009117512745730185,0.23766143087904995,0.0044267418547888305,0.25,0.0,0.2677777777777778,0.0,0.25,0.2677777777777778,5
27.8,2.4899799195977463,0.806,0.0810401135241061,3.656,0.04114000486144846,0.5375254329004328,0.029994112089163912,10.745806769282174,1.6737505038614748,0.890598018257338,0.0142240166297324,0.9854670035748978,0.004982950846673782,0.23700950405332763,0.007670931986354623,0.25,0.0,0.3,0.0,0.25,0.3,5
1.0,0.0,1.0,0.0,3.982,0.006708203932499358,0.31983571428571433,0.018840029794227848,6.443496240601505,0.2128731476226812,0.7781827602814049,0.009206977731602554,0.20618078221100472,0.050981377605661675,0.18677667340830517,0.013593558815396508,0.30000000000000004,0.0,0.01,0.0,0.30000000000000004,0.01,5
1.0,0.0,1.0,0.0,3.932,0.016807736313971595,0.3342190476190476,0.02348577111507336,6.705466165413535,0.30152664817795943,0.7820332623113553,0.015048871528750667,0.5989066587762177,0.047508601601323495,0.1754920353843251,0.01943336455687142,0.30000000000000004,0.0,0.042222222222222223,0.0,0.30000000000000004,0.042222222222222223,5
3.0,0.7071067811865476,0.993,0.003259601202601344,3.8800000000000003,0.019685019685029503,0.3638623015873016,0.026006649760371467,6.859158251941747,0.31014276872005997,0.7980283450280437,0.017778113708327766,0.7223940838533431,0.033443217727116586,0.17739077730354885,0.013269502594774076,0.30000000000000004,0.0,0.07444444444444444,0.0,0.30000000000000004,0.07444444444444444,5
5.2,2.588435821108957,0.9855,0.006471089552772422,3.835,0.03259601202601313,0.39844404761904767,0.009791851749589612,7.242677005836134,0.17808058093782558,0.8140841757830172,0.011439178124901235,0.8258572226974756,0.026170511579575225,0.19797912677101887,0.004252071302029421,0.30000000000000004,0.0,0.10666666666666666,0.0,0.30000000000000004,0.10666666666666666,5
10.2,3.3466401061363023,0.9574999999999999,0.027041634565979925,3.822,0.03365263734092769,0.4259670634920635,0.015851266572704272,7.300408943292676,0.26232277088413364,0.8265418370750156,0.006850269317513573,0.897944633331976,0.033394930378050955,0.18911427420798807,0.005083173738679099,0.30000000000000004,0.0,0.1388888888888889,0.0,0.30000000000000004,0.1388888888888889,5
9.8,3.1144823004794873,0.9560000000000001,0.013299436078270381,3.8280000000000003,0.03094349689353158,0.4616757936507936,0.013131893413444633,7.634775009921276,0.20748143450749004,0.8326063861625872,0.01402051320021408,0.9289841679280129,0.03426114534746964,0.19205874070972573,0.006573927189643978,0.30000000000000004,0.0,0.1711111111111111,0.0,0.30000000000000004,0.1711111111111111,5
18.6,5.029910535983716,0.9075000000000001,0.01610512340840642,3.747,0.054840678332785026,0.46223650793650795,0.026865645230963443,7.866396149431608,0.5568145902304747,0.8457712102375037,0.010683705817975848,0.9599998264900286,0.01197231619883563,0.193665086676783,0.00902087799297347,0.30000000000000004,0.0,0.2033333333333333,3.1031676915590914e-17,0.30000000000000004,0.20333333333333334,5
16.0,1.5811388300841898,0.922,0.015552331014995776,3.771,0.02484954727957836,0.4760412698412698,0.03527811192527486,8.038275330750807,0.3020180147295803,0.8535133131772448,0.008606946953862422,0.9588655005799671,0.026174446934386343,0.19051019873320169,0.013179684000952721,0.30000000000000004,0.0,0.23555555555555557,0.0,0.30000000000000004,0.23555555555555557,5
18.4,1.9493588689617927,0.914,0.022885584982691626,3.7649999999999997,0.027838821814150073,0.49708611111111106,0.020106392804387068,8.63484195814316,0.6049121368181585,0.8664374732388185,0.009109892323093019,0.9733505694982444,0.011664521074380875,0.2025269757776888,0.005929074947111054,0.30000000000000004,0.0,0.2677777777777778,0.0,0.30000000000000004,0.2677777777777778,5
17.8,4.8166378315169185,0.9095000000000001,0.036029501800607766,3.758,0.053921238858171607,0.5071325396825397,0.028722514658791918,9.039380611871733,0.7542254757920693,0.865305859975724,0.01791796449059555,0.9849507426124147,0.01081916554660727,0.20160930424351658,0.011850351641536019,0.30000000000000004,0.0,0.3,0.0,0.30000000000000004,0.3,5
1.0,0.0,1.0,0.0,3.982,0.009746794344808905,0.31482738095238094,0.017601731959398813,6.408744360902256,0.2288371741389229,0.7721929043453709,0.012905617163535915,0.20139549209181945,0.0991641993645358,0.11455457085675261,0.0129137124673031,0.3500000000000001,0.0,0.01,0.0,0.3500000000000001,0.01,5
2.0,0.7071067811865476,0.9975000000000002,0.0017677669529663704,3.9490000000000003,0.010839741694339353,0.32003809523809523,0.012444865368346941,6.466375699511046,0.2620806051765184,0.7756019542522414,0.011767068111326596,0.5231384692294553,0.062316420623648144,0.10840781561483333,0.009374779543892306,0.3500000000000001,0.0,0.042222222222222223,0.0,0.3500000000000001,0.042222222222222223,5
1.8,0.8366600265340756,0.998,0.0020916500663351843,3.929,0.02484954727957833,0.3344107142857143,0.022447354715017413,6.576307240799238,0.27700384041292025,0.7806753960710243,0.015745027914603527,0.6320923235677237,0.18055555407166834,0.10865613850896845,0.021071624172564536,0.3500000000000001,0.0,0.07444444444444444,0.0,0.3500000000000001,0.07444444444444444,5
5.2,1.3038404810405297,0.986,0.004873397172404475,3.8880000000000003,0.00758287544405158,0.3556583333333333,0.016116221529002463,6.724935366955217,0.26000403405412187,0.7881265547307195,0.013986619520172565,0.7478931837256881,0.11042296349559785,0.11582593990723622,0.013313201012874412,0.3500000000000001,0.0,0.10666666666666666,0.0,0.3500000000000001,0.10666666666666666,5
4.4,0.5477225575051662,0.9889999999999999,0.0022360679774997855,3.8809999999999993,0.023822258499143264,0.3673857142857143,0.021673712469638264,6.7689931046754825,0.25290705260097757,0.7939436522167237,0.011314398926065828,0.8190579113474372,0.07555643092307324,0.10846050386434421,0.00718563123668136,0.3500000000000001,0.0,0.1388888888888889,0.0,0.3500000000000001,0.1388888888888889,5
7.6,1.6733200530681511,0.9715,0.011805718953117609,3.8760000000000003,0.027018512172212586,0.38164325396825394,0.028266194372701076,6.774442119005438,0.19102747968937261,0.7965423386031908,0.013297093120641295,0.8909087384283453,0.06133380559835878,0.11158330609289417,0.01525158254819943,0.3500000000000001,0.0,0.1711111111111111,0.0,0.3500000000000001,0.1711111111111111,5
10.2,1.0954451150103324,0.96,0.01457737973711325,3.8600000000000003,0.010606601717798196,0.40792142857142855,0.014671406828768087,6.9775274929127615,0.16646456923314645,0.8084726169966159,0.0072476880697545125,0.939331131053452,0.04033244637916797,0.124864057764039,0.008742623728791301,0.3500000000000001,0.0,0.2033333333333333,3.1031676915590914e-17,0.3500000000000001,0.20333333333333334,5
10.8,3.63318042491699,0.954,0.01892419086777556,3.8609999999999998,0.03453259329966386,0.413618253968254,0.031044971739364394,6.9997262577575885,0.2186913551587468,0.8137939629644727,0.017181347423616496,0.9489609392863991,0.031362013827525605,0.12858075560307342,0.016212505841829913,0.3500000000000001,0.0,0.23555555555555557,0.0,0.3500000000000001,0.23555555555555557,5
11.6,3.7815340802378077,0.9560000000000001,0.013532368602724347,3.8559999999999994,0.04144273157020411,0.4163417388167388,0.03140066379756392,6.992155249032487,0.2067172526425287,0.8108751007188021,0.016514186890110038,0.9679229810478418,0.01939635802356258,0.12557355600409476,0.00683489270416373,0.3500000000000001,0.0,0.2677777777777778,0.0,0.3500000000000001,0.2677777777777778,5
12.8,2.6832815729997477,0.9405000000000001,0.017446346322367894,3.84,0.05841660722773959,0.4428305555555555,0.03473317244000201,7.223217738381779,0.34746513411353985,0.8260490058371893,0.018281361318175687,0.9784905726740485,0.005498973962942667,0.13806604791852703,0.01512864026792606,0.3500000000000001,0.0,0.3,0.0,0.3500000000000001,0.3,5
